RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2024,11440,마포구,11000,노고산동,1,대지,0012,0027,예담빌서강5차,2024-11-12,35000,18.85,16.000000,3,,,2020,연립다세대,중개거래,서울 서대문구
2024,11500,강서구,10300,화곡동,1,대지,0458,0024,신성주택(458-24),2024-11-12,23000,64.8,36.000000,3,,,2007,연립다세대,중개거래,서울 강서구
2024,11620,관악구,10200,신림동,1,대지,0610,0156,행복맨션3차,2024-11-12,15500,53.37,30.000000,-1,,,1995,연립다세대,직거래,
2024,11260,중랑구,10100,면목동,1,대지,0673,0002,삼이,2024-11-12,25000,50.61,44.000000,1,,,1980,연립다세대,중개거래,서울 중랑구
2024,11680,강남구,10100,역삼동,1,대지,0727,0002,대명벨리온,2024-11-12,15000,17.684,0.000000,5,,,2012,아파트,직거래,
2024,11530,구로구,10900,궁동,1,대지,0284,0004,동오그린빌라트106동(284-4),2024-11-12,20000,58.64,33.000000,3,,,1993,연립다세대,중개거래,서울 구로구
2024,11410,서대문구,11100,홍제동,1,대지,0260,0017,(260-17),2024-11-12,41800,22.91,14.000000,4,,,2018,연립다세대,중개거래,서울 서대문구
2024,11350,노원구,10600,중계동,1,대지,0103,0000,동진,2024-11-11,16770,38.79,0.000000,5,,,1988,아파트,중개거래,서울 노원구
2024,11290,성북구,13300,정릉동,,,,,,2024-11-11,72000,137.15,159.000000,,,,1974,단독다가구,직거래,
2024,11305,강북구,10300,수유동,1,대지,0486,0756,지성빌라(B),2024-11-11,13250,57.92,22.000000,2,,,2003,연립다세대,직거래,
2024,11500,강서구,10300,화곡동,1,대지,0366,0051,동도하이츠빌라,2024-11-11,23000,59.9,27.000000,1,,,1999,연립다세대,중개거래,서울 강서구
2024,11545,금천구,10100,가산동,1,대지,0139,0003,램킨푸르지오시티,2024-11-11,8500,19.96,28.594500,6,,,2013,오피스텔,직거래,
2024,11470,양천구,10300,신월동,1,대지,0046,0011,신원주택(46-11),2024-11-11,11200,36.76,29.000000,3,,,1987,연립다세대,직거래,
2024,11500,강서구,10800,공항동,1,대지,0053,0093,수명그린빌에이동비동,2024-11-11,19350,36.93,25.000000,6,,,2016,연립다세대,직거래,
2024,11380,은평구,10400,갈현동,1,대지,0136,0014,흥우맨션A동,2024-11-11,9100,31.29,18.000000,5,,,2002,연립다세대,직거래,
2024,11650,서초구,10800,서초동,1,대지,1330,0000,서초동삼성쉐르빌2,2024-11-11,31350,35.22,0.000000,4,,,2002,아파트,직거래,
2024,11260,중랑구,10200,상봉동,1,대지,0495,0000,동부아파트,2024-11-11,47000,54,0.000000,1,,,1999,아파트,중개거래,서울 중랑구
2024,11440,마포구,11500,상수동,1,대지,0339,0001,(339-1),2024-11-11,29500,57.75,36.000000,3,,,2009,연립다세대,직거래,
2024,11305,강북구,10300,수유동,1,대지,0392,0106,세인트팰리스,2024-11-11,33000,55.82,33.000000,5,,,2016,연립다세대,중개거래,서울 강북구
2024,11320,도봉구,10800,도봉동,1,대지,0063,0000,힐스테이트 도봉역 웰가,2024-11-11,65000,84.173,119.162300,8,,,2023,오피스텔,중개거래,"서울 노원구, 서울 도봉구"
2024,11620,관악구,10100,봉천동,2,산,0101,0000,힐스테이트 관악센트씨엘,2024-11-11,102429,58.92,0.000000,1,분양권,,0,아파트,중개거래,서울 관악구
2024,11470,양천구,10100,신정동,1,대지,0952,0003,주안펌니스아파트,2024-11-11,50000,89.44,0.000000,7,,,2002,아파트,직거래,
2024,11290,성북구,13800,장위동,,,,,,2024-11-11,70000,247.65,168.000000,,,,1988,단독다가구,중개거래,경기 남양주시
2024,11140,중구,16300,흥인동,1,대지,0119,0000,동대문와이즈캐슬,2024-11-11,14300,16.55,0.000000,15,,,2014,아파트,중개거래,서울 중구
2024,11410,서대문구,11100,홍제동,1,대지,0005,0152,현대빌,2024-11-11,21000,33.99,28.000000,3,,,2015,연립다세대,직거래,
2024,11305,강북구,10300,수유동,1,대지,0703,0009,에리트빌,2024-11-11,18500,56.06,32.000000,2,,,2006,연립다세대,중개거래,서울 강북구
2024,11290,성북구,13300,정릉동,1,대지,1025,0000,정릉힐스테이트,2024-11-11,81000,84.92,0.000000,18,,,2004,아파트,중개거래,서울 성북구
2024,11620,관악구,10200,신림동,,,,,,2024-11-11,70000,96.33,86.000000,,,,1996,단독다가구,중개거래,"서울 관악구, 서울 영등포구"
2024,11560,영등포구,11600,당산동6가,1,대지,0341,0001,소미더클래스한강,2024-11-11,59000,30,8.000000,11,,,2023,연립다세대,중개거래,서울 영등포구
2024,11230,동대문구,11000,이문동,3,블럭,0149,0008,이문 아이파크 자이,2024-11-11,115919,84.95,0.000000,4,분양권,,0,아파트,직거래,
2024,11230,동대문구,10700,청량리동,3,블럭,0199,0000,청량리 롯데캐슬 하이루체,2024-11-11,75000,51.426,0.000000,3,분양권,,0,아파트,중개거래,인천 계양구
2024,11230,동대문구,11000,이문동,3,블럭,0149,0008,이문 아이파크 자이,2024-11-11,91539,59.96,0.000000,16,분양권,,0,아파트,중개거래,서울 동대문구
2024,11410,서대문구,11800,홍은동,1,대지,0277,0123,(277-123),2024-11-11,30000,78.61,17.000000,1,,,2009,연립다세대,중개거래,서울 서대문구
2024,11230,동대문구,10300,제기동,,,,,,2024-11-11,17000,62.25,42.000000,,,,1976,단독다가구,직거래,
2024,11530,구로구,10600,고척동,1,대지,0161,0062,트라움팰리스,2024-11-11,22000,32.89,19.000000,2,,,2014,연립다세대,중개거래,서울 구로구
2024,11500,강서구,10300,화곡동,1,대지,0409,0048,연희맨션(가),2024-11-11,19000,59.88,29.000000,1,,,2001,연립다세대,직거래,
2024,11680,강남구,10100,역삼동,1,대지,0605,0017,태건 강남 헤븐리치 더써밋 761,2024-11-11,23000,14.77,23.100000,15,,,2021,오피스텔,중개거래,서울 강남구
2024,11740,강동구,10600,둔촌동,1,대지,0170,0001,올림픽파크 포레온,2024-11-11,184332,84.99,0.000000,12,입주권,,0,아파트,직거래,
2024,11215,광진구,10300,구의동,1,대지,0670,0000,광진파크프라이빗,2024-11-11,51550,48.12,0.000000,4,,,2020,아파트,직거래,
2024,11140,중구,16200,신당동,1,대지,0393,0017,이엠빌리지,2024-11-10,26550,29.39,20.000000,3,,,2015,연립다세대,중개거래,서울 중구
2024,11470,양천구,10300,신월동,1,대지,1063,0000,롯데캐슬,2024-11-10,87500,59.948,0.000000,10,,,2014,아파트,중개거래,서울 양천구
2024,11380,은평구,10400,갈현동,1,대지,0538,0000,미미,2024-11-10,49300,59.595,0.000000,10,,,1997,아파트,중개거래,서울 은평구
2024,11620,관악구,10200,신림동,1,대지,0712,0005,해밀,2024-11-10,23000,47.35,28.000000,3,,,2013,연립다세대,중개거래,서울 관악구
2024,11620,관악구,10200,신림동,1,대지,1638,0001,삼모 더 프라임 타워,2024-11-10,19200,27.76,40.520000,23,,,2011,오피스텔,중개거래,서울 관악구
2024,11560,영등포구,12600,양평동2가,1,대지,0045,0000,상록수,2024-11-10,59900,59.99,0.000000,9,,,1999,아파트,중개거래,서울 영등포구
2024,11530,구로구,10700,개봉동,1,대지,0068,0064,호반써밋 개봉,2024-11-10,77000,84.787,0.000000,20,입주권,,0,아파트,직거래,
2024,11740,강동구,10100,명일동,1,대지,0015,0000,삼익그린2차,2024-11-09,150000,84.755,0.000000,8,,,1983,아파트,중개거래,서울 강동구
2024,11560,영등포구,13000,양평동6가,1,대지,0020,0003,"아트리버빌G동,F동",2024-11-09,32400,41.08,23.000000,4,,,2015,연립다세대,중개거래,서울 영등포구
2024,11305,강북구,10300,수유동,1,대지,0508,0080,가인팰리스,2024-11-09,18900,29.92,18.000000,2,,,2016,연립다세대,중개거래,서울 강북구
2024,11215,광진구,10700,화양동,1,대지,0113,0001,광진코지웰,2024-11-09,13800,15.2,0.000000,7,,,2014,아파트,중개거래,서울 광진구
2024,11470,양천구,10100,신정동,1,대지,1220,0001,금명빌라,2024-11-09,55000,49.07,19.000000,2,,,1993,연립다세대,중개거래,서울 양천구
2024,11620,관악구,10200,신림동,1,대지,1735,0000,관악산휴먼시아2단지,2024-11-09,54400,59.99,0.000000,6,,,2008,아파트,중개거래,"서울 관악구, 서울 금천구"
2024,11560,영등포구,11500,당산동5가,1,대지,0042,0000,당산삼성래미안4차,2024-11-09,192500,115.78,0.000000,24,,,2003,아파트,중개거래,서울 영등포구
2024,11410,서대문구,11000,북아현동,1,대지,1011,0000,신촌푸르지오,2024-11-09,153000,84.957,0.000000,9,,,2015,아파트,중개거래,서울 서대문구
2024,11350,노원구,10400,하계동,1,대지,0251,0000,하계1청구,2024-11-09,90000,84.6,0.000000,12,,,1997,아파트,중개거래,서울 노원구
2024,11230,동대문구,10400,전농동,1,대지,0010,0000,전농SK,2024-11-09,85000,84.84,0.000000,21,,,2000,아파트,중개거래,서울 동대문구
2024,11470,양천구,10300,신월동,1,대지,0526,0002,신영리치빌(526-2),2024-11-09,16000,21.11,14.000000,3,,,2014,연립다세대,중개거래,서울 양천구
2024,11230,동대문구,10200,용두동,1,대지,0039,0868,천우네오젠(39-868),2024-11-09,36000,22.34,13.000000,5,,,2019,연립다세대,중개거래,서울 동대문구
2024,11440,마포구,12500,성산동,1,대지,0214,0019,슈펜하임성산,2024-11-09,42000,28.43,18.000000,3,,,2017,연립다세대,중개거래,서울 마포구
2024,11260,중랑구,10100,면목동,1,대지,0549,0007,"현진트윈빌A,B동",2024-11-09,40000,29.13,19.000000,2,,,2021,연립다세대,중개거래,서울 성북구
2024,11380,은평구,10600,대조동,1,대지,0006,0013,예가크레시아,2024-11-09,50000,49.77,0.000000,11,,,2012,아파트,중개거래,서울 은평구
2024,11290,성북구,10800,동소문동5가,1,대지,0015,0000,성신여대역솔하임,2024-11-09,22000,15.424,0.000000,7,,,2018,아파트,중개거래,서울 성북구
2024,11350,노원구,10300,공릉동,1,대지,0081,0000,태강아파트(아이파크),2024-11-09,54000,49.6,0.000000,11,,,1999,아파트,중개거래,서울 노원구
2024,11170,용산구,12900,이촌동,1,대지,0436,0000,래미안첼리투스,2024-11-09,500000,124.02,0.000000,24,,,2015,아파트,중개거래,"서울 강남구, 서울 용산구"
2024,11740,강동구,10900,천호동,1,대지,0335,0036,신안아트빌,2024-11-09,33700,44,27.000000,3,,,2016,연립다세대,중개거래,서울 강동구
2024,11380,은평구,10300,불광동,1,대지,0242,0099,(242-99),2024-11-09,47300,40.94,30.000000,2,,,1990,연립다세대,중개거래,서울 은평구
2024,11215,광진구,10500,자양동,1,대지,0516,0000,우성3,2024-11-09,129000,72.34,0.000000,6,,,1989,아파트,중개거래,서울 광진구
2024,11380,은평구,10400,갈현동,1,대지,0418,0023,수하우징,2024-11-09,24000,48.88,27.000000,3,,,2013,연립다세대,중개거래,서울 은평구
2024,11530,구로구,11200,항동,1,대지,0005,0006,늘푸른빌102동,2024-11-09,22000,61.37,33.000000,2,,,2000,연립다세대,중개거래,서울 구로구
2024,11740,강동구,10900,천호동,1,대지,0155,0005,강동역두산위브센티움,2024-11-09,15300,31.43,31.430000,4,,,2004,오피스텔,중개거래,서울 강동구
2024,11350,노원구,10300,공릉동,1,대지,0492,0001,대아2차아파트,2024-11-09,62000,84.6,0.000000,7,,,2000,아파트,중개거래,서울 노원구
2024,11290,성북구,13300,정릉동,1,대지,1035,0000,정릉2차e-편한세상,2024-11-09,87000,84.4,0.000000,8,,,2009,아파트,중개거래,서울 성북구
2024,11680,강남구,11400,일원동,,,,,,2024-11-09,400000,326.52,233.000000,,,,1994,단독다가구,중개거래,서울 강남구
2024,11350,노원구,10500,상계동,1,대지,0173,0001,벽산,2024-11-09,32500,43.35,0.000000,11,,,1989,아파트,중개거래,서울 노원구
2024,11500,강서구,10300,화곡동,1,대지,1033,0048,인창빌라가동,2024-11-09,15000,33.27,24.000000,1,,,1991,연립다세대,중개거래,서울 강서구
2024,11680,강남구,10600,대치동,1,대지,1014,0003,대치삼성,2024-11-09,298500,97.35,0.000000,12,,,2000,아파트,중개거래,"서울 강남구, 서울 송파구"
2024,11710,송파구,10700,가락동,1,대지,0140,0000,가락(1차)쌍용아파트,2024-11-09,143500,84.69,0.000000,10,,,1997,아파트,중개거래,서울 송파구
2024,11560,영등포구,12900,양평동5가,1,대지,0009,0001,동보,2024-11-09,81700,59.4,0.000000,13,,,1998,아파트,중개거래,서울 영등포구
2024,11260,중랑구,10200,상봉동,1,대지,0122,0079,에이스빌(122-79),2024-11-09,26900,28.15,17.000000,5,,,2014,연립다세대,중개거래,서울 중랑구
2024,11290,성북구,13300,정릉동,1,대지,0239,0000,정릉풍림아이원,2024-11-09,53500,60,0.000000,1,,,2005,아파트,중개거래,"서울 강북구, 서울 성북구"
2024,11230,동대문구,10500,답십리동,1,대지,0492,0004,답십리한화오벨리스크,2024-11-09,14000,29.88,40.228000,14,,,2004,오피스텔,중개거래,서울 동대문구
2024,11440,마포구,12700,상암동,1,대지,1734,0000,상암 한화 오벨리스크,2024-11-09,11000,19.93,25.830000,9,,,2013,오피스텔,중개거래,서울 마포구
2024,11260,중랑구,10300,중화동,1,대지,0331,0001,리버센 SK VIEW 롯데캐슬,2024-11-09,110290,84.54,0.000000,25,분양권,,0,아파트,중개거래,서울 중랑구
2024,11710,송파구,10800,문정동,1,대지,0622,0000,송파한화오벨리스크,2024-11-09,23000,29.99,38.607000,12,,,2013,오피스텔,중개거래,서울 송파구
2024,11290,성북구,13300,정릉동,1,대지,0822,0001,대원아파트,2024-11-09,36700,81.17,0.000000,4,,,2006,아파트,중개거래,서울 성북구
2024,11260,중랑구,10600,신내동,1,대지,0650,0000,신내6대주,2024-11-09,52800,59.76,0.000000,1,,,1996,아파트,중개거래,서울 중랑구
2024,11260,중랑구,10100,면목동,1,대지,0153,0023,대성그린빌,2024-11-09,30000,29.75,22.000000,2,,,2015,연립다세대,중개거래,서울 중랑구
2024,11560,영등포구,11200,당산동2가,1,대지,0016,0001,당산대우,2024-11-09,35000,31.73,0.000000,9,,,1999,아파트,중개거래,서울 영등포구
2024,11290,성북구,13600,하월곡동,1,대지,0222,0000,월곡두산위브,2024-11-09,69000,59.855,0.000000,4,,,2003,아파트,중개거래,서울 성북구
2024,11560,영등포구,11400,당산동4가,1,대지,0030,0001,당산현대5차,2024-11-09,135000,84.69,0.000000,10,,,2000,아파트,중개거래,서울 영등포구
2024,11290,성북구,13300,정릉동,1,대지,0165,0022,삼성파크빌8차(165-22),2024-11-09,22300,29.7,24.000000,2,,,2020,연립다세대,중개거래,서울 강북구
2024,11380,은평구,10800,역촌동,1,대지,0084,0036,동인에버빌(84-36),2024-11-08,34000,45,26.000000,3,,,2016,연립다세대,중개거래,서울 은평구
2024,11380,은평구,10600,대조동,1,대지,0026,0014,대경아르체아파트,2024-11-08,38000,29.99,0.000000,10,,,2021,아파트,중개거래,서울 은평구
2024,11545,금천구,10300,시흥동,2,산,0173,0008,성지,2024-11-08,65000,79.42,0.000000,12,,,1986,아파트,중개거래,서울 금천구
2024,11215,광진구,10300,구의동,1,대지,0549,0001,홍우그린빌라,2024-11-08,17000,34.83,17.000000,1,,,1995,연립다세대,중개거래,서울 광진구
2024,11560,영등포구,11000,여의도동,1,대지,0030,0000,목화,2024-11-08,240000,89.26,0.000000,12,,,1977,아파트,중개거래,"서울 강남구, 서울 영등포구"
2024,11380,은평구,11400,진관동,1,대지,0100,0000,은평헤스티아,2024-11-08,12000,26.23,39.390000,11,,,2015,오피스텔,중개거래,서울 은평구
2024,11545,금천구,10200,독산동,1,대지,0986,0020,독산첼시,2024-11-08,31000,52.19,27.000000,6,,,2017,연립다세대,중개거래,서울 금천구
2024,11710,송파구,11100,방이동,1,대지,0050,0010,동광팰리스,2024-11-08,36000,24.03,0.000000,14,,,2018,아파트,중개거래,서울 송파구
2024,11410,서대문구,11200,대현동,1,대지,0037,0032,영타운 지웰 에스테이트,2024-11-08,18800,20.27,31.440700,3,,,2017,오피스텔,중개거래,서울 서대문구
2024,11410,서대문구,10200,충정로3가,1,대지,0465,0000,충정리시온,2024-11-08,55000,45.75,0.000000,12,,,2004,아파트,중개거래,서울 서대문구
2024,11290,성북구,13400,길음동,1,대지,1278,0000,길음동동부센트레빌(1278-0),2024-11-08,76900,59.998,0.000000,14,,,2003,아파트,중개거래,서울 성북구
2024,11560,영등포구,13200,신길동,1,대지,0124,0009,신길리움,2024-11-08,40000,39.68,26.000000,5,,,2019,연립다세대,직거래,
